Dataset,M_nodes,adaptive,add_source,adjoint,adjoint_method,adjoint_step_size,alpha,alpha_dim,att_samp_pct,attention_dim,attention_norm_idx,attention_rewiring,attention_type,augment,baseline,batch_norm,beltrami,beta_dim,block,cpus,data_norm,dataset,decay,directional_penalty,dropout,dt,dt_min,epoch,exact,fc_out,feat_hidden_dim,function,gdc_avg_degree,gdc_k,gdc_method,gdc_sparsification,gdc_threshold,gpus,grace_period,heads,heat_time,hidden_dim,input_dropout,jacobian_norm2,kinetic_energy,label_rate,leaky_relu_slope,lr,max_epochs,max_iters,max_nfe,method,metric,mix_features,name,new_edges,no_alpha_sigmoid,not_lcc,num_init,num_samples,num_splits,ode_blocks,optimizer,patience,pos_enc_hidden_dim,pos_enc_orientation,pos_enc_type,ppr_alpha,reduction_factor,regularise,reweight_attention,rewire_KNN,rewire_KNN_T,rewire_KNN_epoch,rewire_KNN_k,rewire_KNN_sym,rewiring,rw_addD,rw_rmvR,self_loop_weight,sparsify,square_plus,step_size,threshold_type,time,tol_scale,tol_scale_adjoint,total_deriv,use_cora_defaults,use_flux,use_labels,use_lcc,use_mlp
Cora,64,False,True,False,adaptive_heun,1,1.0,sc,1,128,1,False,scaled_dot,False,False,False,False,sc,attention,1,rw,Cora,0.00507685443154266,,0.046878964627763316,0.001,1e-05,100,True,False,716,laplacian,64,64,ppr,topk,0.01,0.5,20,8,3.0,1433,0.5,,,0.5,0.2,0.022924849756740397,1000,100,2000,dopri5,accuracy,False,cora_beltrami_splits,random,False,True,1,1000,2,1,adamax,100,717,row,DW1433,0.05,10,False,False,False,T0,10,64,False,,0.02,0.02,1,S_hat,True,1,addD_rvR,18.294754260552843,821.9773048827274,1.0,,False,False,False,True,False
Pubmed,64,False,True,True,adaptive_heun,1,1.0,sc,1,16,1,False,cosine_sim,False,False,False,True,sc,attention,1,rw,Pubmed,0.0018236722171703636,,0.07191100715473969,0.001,1e-05,50,False,False,250,laplacian,64,64,ppr,topk,0.01,1.0,20,1,3.0,500,0.5,,,0.5,0.2,0.014669345840305131,1000,100,5000,dopri5,MRR,False,,random,False,True,1,400,8,1,adamax,100,250,,DW500,0.05,10,False,False,False,T0,10,64,False,,0.02,0.02,1,S_hat,True,1,addD_rvR,12.942327880200853,1991.0688305523001,16324.368093998313,,False,False,False,True,False
Citeseer,64,False,True,False,adaptive_heun,1,1.0,sc,1,32,0,False,exp_kernel,False,False,False,False,sc,attention,1,rw,Citeseer,0.1,,0.7488085003122172,0.001,1e-05,250,True,False,64,laplacian,64,128,ppr,topk,0.01,1.0,20,8,3.0,1500,0.6803233752085334,,,0.5,0.5825086997804176,0.00863585231323069,1000,100,3000,rk4,MRR,False,Citeseer_beltrami_1_KNN,random,False,True,2,400,1,1,adam,100,16,,,0.05,4,False,False,False,,10,64,False,,0.02,0.02,1,S_hat,True,1,addD_rvR,7.874113442879092,2.9010446330432815,1.0,,False,False,False,True,False
CoauthorCS,64,False,False,True,dopri5,1,1.0,sc,1,8,1,False,scaled_dot,False,False,False,False,sc,attention,1,rw,CoauthorCS,0.004738413087298854,,0.6857774850321,0.001,1e-05,250,False,False,128,laplacian,64,64,ppr,topk,0.0001,1,20,4,3.0,16,0.5275042493231822,,,0.5,0.7181389780997276,0.0009342860080741642,,100,3000,dopri5,accuracy,False,CoauthorCS_final_tune_posencGDC,random,False,True,1,400,4,1,rmsprop,,32,row,GDC,0.05,10,False,False,False,T0,5,64,False,,0.02,0.02,0,S_hat,True,1,addD_rvR,3.126400580172773,9348.983916372074,6599.1250595331385,,False,False,False,,False
Computers,64,False,False,True,dopri5,1,1.0,sc,0.572918052062338,64,1,False,scaled_dot,False,False,False,True,sc,hard_attention,1,rw,Computers,0.007674669913252157,,0.08732611854459256,0.001,1e-05,100,False,False,383,laplacian,64,64,ppr,topk,0.01,1.0,25,4,3.0,767,0.5973137276937647,,,0.5,0.2,0.0035304663972281548,1000,100,500,dopri5,accuracy,False,computer_beltrami_hard_att1,random,False,True,1,400,2,1,adam,100,384,row,DW767,0.05,10,False,False,False,T0,10,64,False,,0.02,0.02,1,S_hat,False,1,addD_rvR,3.249016177876166,127.46369887079446,443.81436775321754,,False,False,False,,False
Photo,64,False,False,True,rk4,1,1.0,sc,0.9282359956104751,64,1,False,pearson,False,False,True,True,sc,hard_attention,1,rw,Photo,0.004707800883497945,,0.46502284638600183,0.001,1e-05,100,False,False,372,laplacian,64,64,ppr,topk,0.01,1.0,25,4,3.0,745,0.42903126506740247,,,0.5,0.2,0.005560726683883279,1000,100,500,dopri5,accuracy,False,photo_beltrami_hard_att1,random,False,True,1,400,2,1,adam,100,373,row,DW745,0.05,10,False,False,False,T0,10,64,False,,0.02,0.02,1,S_hat,False,1,addD_rvR,3.5824027975386623,2086.525473167121,14777.606112557354,,False,False,False,,False
ogbn-arxiv,64,False,False,True,rk4,1,1.0,sc,0.8105268910037231,32,0,False,scaled_dot,False,False,True,False,sc,hard_attention,1,rw,ogbn-arxiv,0,,0.11594990901233933,0.001,1e-05,100,False,False,64,laplacian,64,64,ppr,topk,0.01,1.0,20,2,3.0,162,0,,,0.21964773835397075,0.2,0.005451476553977102,1000,100,500,dopri5,accuracy,False,arxiv_beltrami_hard_att,random,False,False,2,200,1,1,rmsprop,100,98,row,DW64,0.05,10,False,False,False,T0,10,64,False,,0.02,0.02,1,S_hat,False,1,addD_rvR,3.6760155951687636,11353.558848254957,1.0,,False,False,False,True,False
ogbl-collab,64,False,False,True,rk4,1,1.0,sc,0.8105268910037231,32,1,False,scaled_dot,False,False,True,True,sc,hard_attention,1,rw,ogbl-collab,0,,0.3,0.001,1e-05,200,False,False,64,laplacian,64,64,ppr,topk,0.01,1.0,20,2,3.0,128,0,,True,0.21964773835397075,0.2,0.003,1000,100,500,rk4,MRR,False,collab_beltrami_hard_att,random,False,False,2,200,1,1,rmsprop,100,64,row,DW128,0.05,10,False,False,True,T0,10,64,False,,0.02,0.02,1,S_hat,False,1,addD_rvR,3.6760155951687636,11353.558848254957,1.0,,False,False,False,True,False
ogbl-ddi,64,False,False,True,rk4,1,1.0,sc,0.8105268910037231,32,1,False,scaled_dot,False,False,True,True,sc,hard_attention,1,rw,ogbl-ddi,0,,0.3,0.001,1e-05,100,False,False,64,laplacian,64,64,ppr,1e-05,0.01,1.0,20,2,3.0,128,0,,,0.21964773835397075,0.2,0.001,1000,100,2000,rk4,MRR,False,ddi_beltrami_hard_att,random,False,False,2,200,1,1,rmsprop,100,64,row,DW128,0.05,10,False,False,False,T0,10,64,False,,0.02,0.02,1,S_hat,False,1,addD_rvR,3.6760155951687636,11353.558848254957,1.0,,False,False,False,True,False
ogbl-ppa,64,False,False,True,rk4,1,1.0,sc,0.8105268910037231,32,0,False,scaled_dot,False,False,True,False,sc,hard_attention,1,rw,ogbl-ppa,0,,0.11594990901233933,0.001,1e-05,100,False,False,64,laplacian,64,64,ppr,threshold,0.001,1.0,20,2,3.0,162,0,,,0.21964773835397075,0.2,0.005451476553977102,1000,100,500,dopri5,accuracy,False,ppa_beltrami_hard_att,random,False,False,2,200,1,1,rmsprop,100,98,row,DW64,0.05,10,False,False,False,T0,10,64,False,gdc,0.02,0.02,1,S_hat,False,1,addD_rvR,3.6760155951687636,11353.558848254957,1.0,,False,False,False,True,False
