Model,NodeFeat,Heuristic,Test_Loss
Custom_GIN,adjacency,PPR,4.4039996282663196e-05
Custom_GIN,adjacency,PPR,4.4039996282663196e-05
Custom_GIN,adjacency,PPR,4.4039996282663196e-05
Custom_GIN,adjacency,PPR,4.4039996282663196e-05
Custom_GIN,original,PPR,0.00036382474354468286
Custom_GIN,original,PPR,0.00036382474354468286
Custom_GIN,one-hot,PPR,2.55576815106906e-05
Custom_GIN,one-hot,PPR,2.5557688786648214e-05
Custom_GIN,random,PPR,2.5299250410171226e-05
Custom_GIN,random,PPR,2.5299250410171226e-05
Custom_GIN,adjacency,PPR,4.923692540614866e-05
Custom_GIN,original,PPR,2.584128378657624e-05
Custom_GIN,one-hot,PPR,3.7163783417781815e-05
Custom_GIN,random,PPR,3.9454334910260513e-05
Custom_GIN,adjacency,PPR,4.923692540614866e-05
Custom_GIN,original,PPR,2.584128378657624e-05
Custom_GIN,one-hot,PPR,3.7163783417781815e-05
Custom_GIN,random,PPR,3.9454334910260513e-05
Custom_GIN,adjacency,PPR,4.923692540614866e-05
Custom_GIN,original,PPR,2.584128378657624e-05
Custom_GIN,one-hot,PPR,3.7163783417781815e-05
Custom_GIN,random,PPR,3.9454334910260513e-05
Custom_GIN,adjacency,PPR,6.575982843060046e-05
Custom_GIN,original,PPR,4.0060043829726055e-05
Custom_GIN,one-hot,PPR,2.7455243980512023e-05
Custom_GIN,random,PPR,0.00010207156446995214
Custom_GIN,adjacency,PPR,2.545153802202549e-05
Custom_GIN,original,PPR,6.178097100928426e-05
Custom_GIN,one-hot,PPR,5.07825861859601e-05
Custom_GIN,random,PPR,2.7606094590737484e-05
Custom_GIN,adjacency,PPR,2.6634004825609736e-05
Custom_GIN,original,PPR,2.6314042770536616e-05
Custom_GIN,one-hot,PPR,2.8349926651571877e-05
Custom_GIN,random,PPR,4.0685757994651794e-05
