Model,NodeFeat,Heuristic,Test_Loss
GraphSAGE,original,CN,1.031430940656719e-09
GraphSAGE,original,CN,0.022392714396119118
GraphSAGE,original,CN,0.011514173820614815
GraphSAGE,one-hot,CN,0.001435543643310666
GraphSAGE,one-hot,CN,0.08856766670942307
GraphSAGE,one-hot,CN,0.0015314639313146472
GraphSAGE,random,CN,0.18257302045822144
GraphSAGE,random,CN,0.1297631859779358
GraphSAGE,random,CN,2.037156043854793e-08
GraphSAGE,original,CN,1.031430940656719e-09
GraphSAGE,original,CN,1.031430940656719e-09
GraphSAGE,original,CN,1.031430940656719e-09
GraphSAGE,original,CN,0.022392714396119118
GraphSAGE,original,CN,0.011514173820614815
GraphSAGE,original,CN,0.022392714396119118
GraphSAGE,original,CN,0.0461680106818676
GraphSAGE,original,CN,0.0
GraphSAGE,original,CN,0.011514173820614815
GraphSAGE,original,CN,0.360225111246109
GraphSAGE,original,CN,0.01128685288131237
GraphSAGE,original,CN,0.0461680106818676
GraphSAGE,original,CN,0.4042094945907593
GraphSAGE,one-hot,CN,0.001435543643310666
GraphSAGE,original,CN,0.0
GraphSAGE,one-hot,CN,0.08856766670942307
GraphSAGE,one-hot,CN,0.0015314639313146472
GraphSAGE,one-hot,CN,0.005433567333966494
GraphSAGE,one-hot,CN,0.0016795110423117876
GraphSAGE,one-hot,CN,0.09455899149179459
GraphSAGE,one-hot,CN,0.09691545367240906
GraphSAGE,one-hot,CN,0.01948513835668564
GraphSAGE,random,CN,0.18257302045822144
GraphSAGE,random,CN,0.1297631859779358
GraphSAGE,random,CN,2.037156043854793e-08
GraphSAGE,random,CN,0.34254640340805054
GraphSAGE,random,CN,0.08984862267971039
GraphSAGE,random,CN,0.23642662167549133
GraphSAGE,random,CN,0.1258252114057541
GraphSAGE,random,CN,0.37446650862693787
GraphSAGE,adjacency,CN,0.012035215273499489
GraphSAGE,adjacency,CN,0.23819682002067566
GraphSAGE,adjacency,CN,0.0
GraphSAGE,adjacency,CN,0.0015305274864658713
GraphSAGE,adjacency,CN,2.8492763703980017e-12
GraphSAGE,adjacency,CN,0.125
GraphSAGE,adjacency,CN,0.125
GraphSAGE,adjacency,CN,0.13557648658752441
GraphSAGE,original,CN,1.031430940656719e-09
GraphSAGE,original,CN,1.031430940656719e-09
GraphSAGE,original,CN,1.031430940656719e-09
GraphSAGE,original,CN,0.022392714396119118
GraphSAGE,original,CN,0.022392714396119118
GraphSAGE,original,CN,0.022392714396119118
GraphSAGE,original,CN,0.011514173820614815
GraphSAGE,original,CN,0.011514173820614815
GraphSAGE,original,CN,0.011514173820614815
GraphSAGE,original,CN,0.0461680106818676
GraphSAGE,original,CN,0.0461680106818676
GraphSAGE,original,CN,0.0461680106818676
GraphSAGE,original,CN,0.0
GraphSAGE,original,CN,0.0
GraphSAGE,original,CN,0.0
GraphSAGE,original,CN,0.360225111246109
GraphSAGE,original,CN,0.360225111246109
GraphSAGE,original,CN,0.360225111246109
GraphSAGE,original,CN,0.01128685288131237
GraphSAGE,original,CN,0.01128685288131237
GraphSAGE,original,CN,0.01128685288131237
GraphSAGE,original,CN,0.4042094945907593
GraphSAGE,original,CN,0.4042094945907593
GraphSAGE,original,CN,0.4042094945907593
GraphSAGE,one-hot,CN,0.001435543643310666
GraphSAGE,one-hot,CN,0.001435543643310666
GraphSAGE,one-hot,CN,0.001435543643310666
GraphSAGE,one-hot,CN,0.08856766670942307
GraphSAGE,one-hot,CN,0.08856766670942307
GraphSAGE,one-hot,CN,0.08856766670942307
