Model,NodeFeat,Heuristic,Test_Loss
LINKX,original,CN,0.3064872622489929
LINKX,original,CN,0.253240168094635
LINKX,original,CN,0.253240168094635
LINKX,original,CN,0.027033178135752678
LINKX,original,CN,0.13075567781925201
LINKX,original,CN,0.13075567781925201
LINKX,original,CN,0.31317198276519775
LINKX,original,CN,0.09634209424257278
LINKX,original,CN,0.3064872622489929
LINKX,original,CN,0.09634209424257278
LINKX,one-hot,CN,0.019252566620707512
LINKX,original,CN,0.3064872622489929
LINKX,original,CN,0.3064872622489929
LINKX,original,CN,0.027033178135752678
LINKX,original,CN,0.027033178135752678
LINKX,original,CN,0.31317198276519775
LINKX,original,CN,0.31317198276519775
LINKX,original,CN,0.253240168094635
LINKX,original,CN,0.13075567781925201
LINKX,original,CN,0.253240168094635
LINKX,original,CN,0.09634209424257278
LINKX,original,CN,0.34485140442848206
LINKX,original,CN,0.13075567781925201
LINKX,original,CN,0.3050777018070221
LINKX,one-hot,CN,0.019252566620707512
LINKX,original,CN,0.09634209424257278
LINKX,one-hot,CN,0.055303700268268585
LINKX,one-hot,CN,1.2008172234345693e-10
LINKX,original,CN,0.34485140442848206
LINKX,one-hot,CN,0.0009380713454447687
LINKX,one-hot,CN,0.0
LINKX,original,CN,0.3050777018070221
LINKX,one-hot,CN,0.019493117928504944
LINKX,one-hot,CN,0.025145933032035828
LINKX,one-hot,CN,0.019252566620707512
LINKX,one-hot,CN,0.3270133435726166
LINKX,random,CN,0.04122167453169823
LINKX,one-hot,CN,0.055303700268268585
LINKX,random,CN,0.11902996152639389
LINKX,one-hot,CN,1.2008172234345693e-10
LINKX,random,CN,0.014650121331214905
LINKX,random,CN,0.06840510666370392
LINKX,one-hot,CN,0.0009380713454447687
LINKX,random,CN,2.663470013430924e-07
LINKX,random,CN,0.13392139971256256
LINKX,one-hot,CN,0.0
LINKX,random,CN,0.15896904468536377
LINKX,random,CN,0.21547994017601013
LINKX,one-hot,CN,0.019493117928504944
LINKX,adjacency,CN,1.031430940656719e-09
LINKX,adjacency,CN,0.06027141213417053
LINKX,one-hot,CN,0.025145933032035828
LINKX,adjacency,CN,0.003657565452158451
LINKX,adjacency,CN,0.05601087212562561
LINKX,one-hot,CN,0.3270133435726166
LINKX,adjacency,CN,0.0
LINKX,adjacency,CN,0.029806600883603096
LINKX,random,CN,0.04122167453169823
LINKX,adjacency,CN,0.024891966953873634
LINKX,adjacency,CN,0.17161951959133148
LINKX,random,CN,0.11902996152639389
LINKX,random,CN,0.014650121331214905
LINKX,random,CN,0.06840510666370392
LINKX,original,CN,0.3064872622489929
LINKX,original,CN,0.027033178135752678
LINKX,original,CN,0.3064872622489929
LINKX,original,CN,0.3064872622489929
LINKX,original,CN,0.31317198276519775
LINKX,original,CN,0.027033178135752678
LINKX,original,CN,0.027033178135752678
LINKX,original,CN,0.253240168094635
LINKX,original,CN,0.31317198276519775
LINKX,original,CN,0.31317198276519775
LINKX,original,CN,0.13075567781925201
LINKX,original,CN,0.253240168094635
LINKX,original,CN,0.253240168094635
LINKX,original,CN,0.09634209424257278
LINKX,original,CN,0.13075567781925201
LINKX,original,CN,0.13075567781925201
LINKX,original,CN,0.34485140442848206
LINKX,original,CN,0.09634209424257278
LINKX,original,CN,0.09634209424257278
LINKX,original,CN,0.3050777018070221
LINKX,original,CN,0.34485140442848206
LINKX,original,CN,0.34485140442848206
LINKX,one-hot,CN,0.019252566620707512
LINKX,original,CN,0.3050777018070221
LINKX,original,CN,0.3050777018070221
LINKX,one-hot,CN,0.055303700268268585
LINKX,one-hot,CN,0.019252566620707512
LINKX,one-hot,CN,0.019252566620707512
LINKX,one-hot,CN,1.2008172234345693e-10
LINKX,one-hot,CN,0.055303700268268585
LINKX,one-hot,CN,0.055303700268268585
LINKX,one-hot,CN,0.0009380713454447687
LINKX,one-hot,CN,1.2008172234345693e-10
LINKX,one-hot,CN,1.2008172234345693e-10
LINKX,one-hot,CN,0.0
LINKX,one-hot,CN,0.0009380713454447687
LINKX,one-hot,CN,0.0009380713454447687
LINKX,one-hot,CN,0.019493117928504944
LINKX,one-hot,CN,0.0
LINKX,one-hot,CN,0.0
LINKX,one-hot,CN,0.025145933032035828
LINKX,one-hot,CN,0.019493117928504944
LINKX,one-hot,CN,0.019493117928504944
LINKX,one-hot,CN,0.3270133435726166
LINKX,one-hot,CN,0.025145933032035828
LINKX,one-hot,CN,0.025145933032035828
LINKX,random,CN,0.04122167453169823
LINKX,one-hot,CN,0.3270133435726166
LINKX,one-hot,CN,0.3270133435726166
LINKX,random,CN,0.11902996152639389
LINKX,random,CN,0.04122167453169823
LINKX,random,CN,0.04122167453169823
LINKX,random,CN,0.014650121331214905
LINKX,random,CN,0.11902996152639389
LINKX,random,CN,0.11902996152639389
LINKX,random,CN,0.014650121331214905
LINKX,random,CN,0.06840510666370392
LINKX,random,CN,0.014650121331214905
LINKX,random,CN,0.06840510666370392
LINKX,random,CN,2.663470013430924e-07
LINKX,random,CN,0.06840510666370392
LINKX,random,CN,2.663470013430924e-07
LINKX,random,CN,0.13392139971256256
LINKX,random,CN,2.663470013430924e-07
LINKX,random,CN,0.13392139971256256
LINKX,random,CN,0.15896904468536377
LINKX,random,CN,0.13392139971256256
LINKX,random,CN,0.15896904468536377
LINKX,random,CN,0.21547994017601013
LINKX,random,CN,0.15896904468536377
LINKX,random,CN,0.21547994017601013
LINKX,adjacency,CN,1.031430940656719e-09
LINKX,random,CN,0.21547994017601013
LINKX,adjacency,CN,1.031430940656719e-09
LINKX,adjacency,CN,0.06027141213417053
LINKX,adjacency,CN,1.031430940656719e-09
LINKX,adjacency,CN,0.06027141213417053
LINKX,adjacency,CN,0.003657565452158451
LINKX,adjacency,CN,0.06027141213417053
LINKX,adjacency,CN,0.003657565452158451
LINKX,adjacency,CN,0.05601087212562561
LINKX,adjacency,CN,0.003657565452158451
LINKX,adjacency,CN,0.05601087212562561
LINKX,adjacency,CN,0.0
LINKX,adjacency,CN,0.05601087212562561
LINKX,adjacency,CN,0.0
LINKX,adjacency,CN,0.029806600883603096
LINKX,adjacency,CN,0.0
LINKX,adjacency,CN,0.029806600883603096
LINKX,adjacency,CN,0.024891966953873634
LINKX,adjacency,CN,0.029806600883603096
LINKX,adjacency,CN,0.024891966953873634
LINKX,adjacency,CN,0.17161951959133148
LINKX,adjacency,CN,0.024891966953873634
LINKX,adjacency,CN,0.17161951959133148
LINKX,adjacency,CN,0.17161951959133148
