Model,NodeFeat,Heuristic,Test_Loss
LINKX,adjacency,PPR,4.5411528844852e-05
LINKX,adjacency,PPR,4.5411528844852e-05
LINKX,adjacency,PPR,4.5411528844852e-05
LINKX,adjacency,PPR,4.541151793091558e-05
LINKX,adjacency,PPR,4.5411528844852e-05
LINKX,original,PPR,0.0001489266287535429
LINKX,original,PPR,0.00016638421220704913
LINKX,one-hot,PPR,4.743264798889868e-05
LINKX,one-hot,PPR,4.743265162687749e-05
LINKX,random,PPR,0.00014874243061058223
LINKX,random,PPR,0.0001732816017465666
LINKX,adjacency,PPR,5.661877730744891e-05
LINKX,adjacency,PPR,9.870770736597478e-05
LINKX,original,PPR,3.13345153699629e-05
LINKX,one-hot,PPR,4.5084136218065396e-05
LINKX,random,PPR,0.00044276195694692433
LINKX,adjacency,PPR,9.870770736597478e-05
LINKX,original,PPR,3.13345153699629e-05
LINKX,one-hot,PPR,4.5084136218065396e-05
LINKX,random,PPR,0.00044276195694692433
LINKX,adjacency,PPR,5.661877730744891e-05
LINKX,original,PPR,0.00019985431572422385
LINKX,one-hot,PPR,0.0004059846105519682
LINKX,random,PPR,0.00015467219054698944
LINKX,adjacency,PPR,6.640914944000542e-05
LINKX,original,PPR,8.408044232055545e-05
LINKX,one-hot,PPR,5.6454038713127375e-05
LINKX,random,PPR,3.946383367292583e-05
LINKX,adjacency,PPR,6.996131560299546e-05
LINKX,original,PPR,2.698894968489185e-05
LINKX,one-hot,PPR,5.003769911127165e-05
LINKX,random,PPR,0.0004869031545240432
